keyword_terms,paper_id
license plate segmentation,15472450.2015.1120674
rear-end collision,15472450.2015.1120674
agent-based modeling,15472450.2016.1152549
dynamic traffic management,15472450.2016.1152549
network modeling,15472450.2016.1152549
personalized traveler information,15472450.2016.1152549
clustering,15472450.2016.1152891
correlation identification,15472450.2016.1152891
evolving Gustafson Kessel approach,15472450.2016.1152891
severe driving events,15472450.2016.1152891
GPS data,15472450.2016.1154764
map matching,15472450.2016.1154764
sampling frequency,15472450.2016.1154764
travel time estimation,15472450.2016.1154764
vehicle penetration rate,15472450.2016.1154764
overlapping routes,15472450.2016.1157020
route guidance strategy,15472450.2016.1157020
self-regulation ability,15472450.2016.1157020
stochastic traffic,15472450.2016.1157020
urban road network,15472450.2016.1157020
GPS,15472450.2016.1166058
map-matching,15472450.2016.1166058
road network,15472450.2016.1166058
vehicle navigation,15472450.2016.1166058
active traffic and demand management (ATDM),15472450.2016.1171151
behaviorally induced system optimal,15472450.2016.1171151
dynamic traffic assignment,15472450.2016.1171151
system optimal,15472450.2016.1171151
travel behaviour,15472450.2016.1171151
travel demand management (TDM),15472450.2016.1171151
sensor failure,15472450.2016.1194206
sensor placement problem,15472450.2016.1194206
stochastic program,15472450.2016.1194206
prediction,15472450.2016.1196141
support vector machines,15472450.2016.1196141
unintentional lane departure,15472450.2016.1196141
detection and count accuracy,15472450.2016.1198700
microwave sensor,15472450.2016.1198700
video sensor,15472450.2016.1198700
vehicle detection technologies,15472450.2016.1198700
Fisher Information Matrix,15472450.2016.1208568
optimization,15472450.2016.1208568
parameter identification,15472450.2016.1208568
traffic modeling,15472450.2016.1208568
bottleneck,15472450.2016.1163639
stochastic capacity,15472450.2016.1163639
stochastic demand,15472450.2016.1163639
travel time variability,15472450.2016.1163639
delay variability,15472450.2016.1216319
performance evaluation,15472450.2016.1216319
signalized intersection,15472450.2016.1216319
travel time variability,15472450.2016.1216319
urban arterial,15472450.2016.1216319
CUSUM introduction,15472450.2016.1220306
traffic data quality,15472450.2016.1220306
weigh-in-motion,15472450.2016.1220306
lane lines,15472450.2016.1247704
vehicle positioning,15472450.2016.1247704
vision,15472450.2016.1247704
vehicle-to-infrastructure communication,15472450.2016.1247704
connected vehicles,15472450.2016.1248288
optimization,15472450.2016.1248288
ramp control,15472450.2016.1248288
VISSIM,15472450.2016.1248288
autonomous driving,15472450.2016.1248288
connected vehicle system,15472450.2016.1254045
driving performance,15472450.2016.1254045
human-machine interaction,15472450.2016.1254045
multi-source detection data,15472450.2016.1254046
queue length,15472450.2016.1254046
traffic shockwave theory,15472450.2016.1254046
traffic signals,15472450.2016.1254046
freeway traffic,15472450.2016.1273779
performance evaluation,15472450.2016.1273779
SpeedInfo,15472450.2016.1273779
speed measurement,15472450.2016.1273779
breakdown prediction,15472450.2017.1279543
decision tree,15472450.2017.1279543
traffic breakdown,15472450.2017.1279543
urban streets,15472450.2017.1279543
car-following,15472450.2017.1283224
lane-changing,15472450.2017.1283224
naturalistic driving,15472450.2017.1283224
data smoothing,15472450.2017.1283989
intelligent transportation systems (ITS),15472450.2017.1283989
machine learning method,15472450.2017.1283989
short-term traffic prediction,15472450.2017.1283989
bus rapid transit,15472450.2017.1286987
transit signal priority,15472450.2017.1286987
logistics,15472450.2017.1291350
probe vehicles,15472450.2017.1291350
routing,15472450.2017.1291350
scheduling,15472450.2017.1291350
bidirectional looking,15472450.2016.1254047
cellular automaton model,15472450.2016.1254047
driving behavior,15472450.2016.1254047
safety performance,15472450.2016.1254047
autonomous vehicles,15472450.2017.1315805
lane-changing instruction,15472450.2017.1315805
urban arterials,15472450.2017.1315805
advanced driver assistance systems,15472450.2016.1247703
cooperative systems,15472450.2016.1247703
intelligent vehicles,15472450.2016.1247703
V2V communications,15472450.2016.1247703
vulnerable road users,15472450.2016.1247703
connected vehicles,15472450.2017.1332524
microsimulation,15472450.2017.1332524
optimization,15472450.2017.1332524
roadside equipments,15472450.2017.1332524
travel time estimation,15472450.2017.1332524
dynamic flow propagation of multiple units of information,15472450.2017.1334559
inter-vehicle communication constraints,15472450.2017.1334559
multi-layer framework,15472450.2017.1334559
time-dependent vehicle knowledge,15472450.2017.1334559
traffic flow dynamics,15472450.2017.1334559
V2V communications based ATIS,15472450.2017.1334559
bus stops,15472450.2016.1194760
kinematic wave theory,15472450.2016.1194760
real-time signal control,15472450.2016.1194760
signalized intersection capacity,15472450.2016.1194760
car-following models,15472450.2016.1198699
driver behavior,15472450.2016.1198699
genetic algorithm calibration,15472450.2016.1198699
on-road experiment,15472450.2016.1198699
vehicle instrumentation,15472450.2016.1198699
Clustering algorithms,15472450.2016.1265890
data-driven behavior,15472450.2016.1265890
data mining,15472450.2016.1265890
intelligent transport system,15472450.2016.1265890
public transport,15472450.2016.1265890
real time information,15472450.2016.1265890
supervised classification,15472450.2016.1265890
automatic vehicle identification (AVI),15472450.2017.1298037
network analysis,15472450.2017.1298037
sensor location problem,15472450.2017.1298037
subroute travel times,15472450.2017.1298037
traffic networks,15472450.2017.1298037
behavior detection,15472450.2017.1305271
dangerous driving behaviors,15472450.2017.1305271
traffic safety,15472450.2017.1305271
trajectory histograms,15472450.2017.1305271
video surveillance system,15472450.2017.1305271
driving,15472450.2017.1369060
drowsiness,15472450.2017.1369060
machine learning,15472450.2017.1369060
sleep disorders,15472450.2017.1369060
symbolic aggregate approximation,15472450.2017.1369060
day-to-day variations,15472450.2017.1326116
generalized risk-averse user equilibrium,15472450.2017.1326116
heuristic gradient projection,15472450.2017.1326116
reduction and equivalence,15472450.2017.1326116
subjective-utility travel time budget,15472450.2017.1326116
Moment ratios,15472450.2017.1326115
statistical modeling,15472450.2017.1326115
travel time variability,15472450.2017.1326115
travel times,15472450.2017.1326115
arterial,15472450.2017.1359093
interrupted flow roadways,15472450.2017.1359093
outsourced probe data,15472450.2017.1359093
slowdown analysis,15472450.2017.1359093
sampled distribution method,15472450.2017.1359093
travel time,15472450.2017.1359093
ex-post assessment,15472450.2017.1327815
hard shoulder running,15472450.2017.1327815
key performance indicators,15472450.2017.1327815
managed lane,15472450.2017.1327815
reliability,15472450.2017.1327815
travel time,15472450.2017.1327815
robust traffic assignment,15472450.2017.1358624
travel time reliability,15472450.2017.1358624
value of reliability,15472450.2017.1358624
headways,15472450.2017.1326114
operations research,15472450.2017.1326114
railroads,15472450.2017.1326114
reliability,15472450.2017.1326114
timetables,15472450.2017.1326114
acceleration and deceleration,15472450.2017.1358623
global positioning systems (GPS),15472450.2017.1358623
multiclass vehicle classification,15472450.2017.1358623
support vector machine (SVM),15472450.2017.1358623
GPS probe vehicles,15472450.2017.1300887
lane identification,15472450.2017.1300887
market penetration rate,15472450.2017.1300887
queue length estimation,15472450.2017.1300887
city logistics,15472450.2017.1309530
ITS,15472450.2017.1309530
real-time information,15472450.2017.1309530
ROI,15472450.2017.1309530
time-dependent travel times,15472450.2017.1309530
vehicle routing,15472450.2017.1309530
connected and automated vehicles,15472450.2017.1387546
reinforcement learning,15472450.2017.1387546
sustainable transportation,15472450.2017.1387546
traffic signal control,15472450.2017.1387546
vehicular emissions,15472450.2017.1387546
intelligent traffic system,15472450.2017.1389650
parallel processing,15472450.2017.1389650
traffic surveillance,15472450.2017.1389650
traffic stream,15472450.2017.1389650
traffic offence,15472450.2017.1389650
traffic control,15472450.2017.1371598
bottleneck,15472450.2017.1371598
ramp metering,15472450.2017.1371598
travel time,15472450.2017.1371598
variable speed limit,15472450.2017.1371598
bi-objective,15472450.2017.1407652
path finding,15472450.2017.1407652
travel time distribution,15472450.2017.1407652
travel time reliability,15472450.2017.1407652
ANN,15472450.2017.1408013
distribution,15472450.2017.1408013
SRSM,15472450.2017.1408013
traffic volume,15472450.2017.1408013
travel time,15472450.2017.1408013
urban arterial,15472450.2017.1408013
automated number plate recognition,15472450.2017.1412829
skewness,15472450.2017.1412829
travel time standard deviation,15472450.2017.1412829
travel time reliability,15472450.2017.1412829
urban traffic,15472450.2017.1412829
copula,15472450.2017.1413555
pessimistic user equilibrium,15472450.2017.1413555
travel time standard deviation,15472450.2017.1413555
travel time reliability,15472450.2017.1413555
Connected and automated vehicles,15472450.2017.1407930
hierarchical control architecture,15472450.2017.1407930
intersection coordination systems,15472450.2017.1407930
multiple intersections,15472450.2017.1407930
model predictive control,15472450.2017.1407930
dynamic demand estimation problem,15472450.2017.1421462
floating car data,15472450.2017.1421462
origin-destination (OD) estimation,15472450.2017.1421462
traffic modelling,15472450.2017.1421462
SPSA,15472450.2017.1421462
autonomous land vehicles,15472450.2017.1334558
decision making,15472450.2017.1334558
intelligent transportation systems,15472450.2017.1334558
Markov processes,15472450.2017.1334558
uncertainty,15472450.2017.1334558
connected vehicle,15472450.2017.1413368
information propagation,15472450.2017.1413368
speed estimation,15472450.2017.1413368
TRANSIMS,15472450.2017.1413368
vehicle-to-vehicle (V2V),15472450.2017.1413368
vehicle wireless communication,15472450.2017.1413368
connected vehicle (CV),15472450.2016.1215921
dynamic all-red extension (DARE),15472450.2016.1215921
intersection,15472450.2016.1215921
least squares support vector machines (LS-SVM),15472450.2016.1215921
radar,15472450.2016.1215921
red-light-running (RLR),15472450.2016.1215921
automated highway system,15472450.2017.1404680
automated lane changing,15472450.2017.1404680
automated vehicles,15472450.2017.1404680
Connected Vehicles,15472450.2017.1404680
highway capacity,15472450.2017.1404680
micro-simulation,15472450.2017.1404680
Cooperative Adaptive Cruise Control (CACC),15472450.2018.1438275
freeway capacity,15472450.2018.1438275
on-ramp merging bottleneck,15472450.2018.1438275
microscopic traffic simulation,15472450.2018.1438275
High-resolution event-based data,15472450.2017.1299011
input-output model,15472450.2017.1299011
real-time queue length estimation,15472450.2017.1299011
shock wave model,15472450.2017.1299011
lane-change-related crash,15472450.2017.1309529
lane-specific analysis,15472450.2017.1309529
matched case control logistic,15472450.2017.1309529
real-time traffic data,15472450.2017.1309529
advanced public transit systems,15472450.2017.1313704
bus lane,15472450.2017.1313704
connected vehicle,15472450.2017.1313704
intelligent transportation systems,15472450.2017.1313704
intermittent and dynamic priority,15472450.2017.1313704
Bayesian network,15472450.2017.1350921
dilemma zone,15472450.2017.1350921
distracted driving,15472450.2017.1350921
driver behavior,15472450.2017.1350921
phone use,15472450.2017.1350921
arterial travel time distribution,15472450.2017.1365606
energy and emissions,15472450.2017.1365606
Gaussian mixture model (GMM),15472450.2017.1365606
mean–standard deviation trade-off,15472450.2017.1396898
ramp metering,15472450.2017.1396898
space–time ARIMA,15472450.2017.1396898
stochastic capacity,15472450.2017.1396898
Bluetooth,15472450.2018.1457444
cluster analysis,15472450.2018.1457444
traffic mode differentiation,15472450.2018.1457444
adaptive signal control,15472450.2017.1334205
genetic algorithm,15472450.2017.1334205
heuristic methods,15472450.2017.1334205
simultaneous perturbation stochastic approximation,15472450.2017.1334205
traffic signal timing optimization,15472450.2017.1334205
crack detection,15472450.2017.1366320
canny edge detector,15472450.2017.1366320
DBSCAN,15472450.2017.1366320
lane detection,15472450.2017.1366320
low-volume roads,15472450.2017.1366320
pavement distress,15472450.2017.1366320
RANSAC,15472450.2017.1366320
ridge detection,15472450.2017.1366320
surface treated pavement,15472450.2017.1366320
video processing,15472450.2017.1366320
bus travel time estimation,15472450.2017.1378102
<i>k</i>,15472450.2017.1378102
-NN classifying algorithm,15472450.2017.1378102
exponential smoothing,15472450.2017.1378102
Kalman filtering,15472450.2017.1378102
bus arrival information,15472450.2017.1378102
bluetooth,15472450.2017.1384698
genetic algorithm,15472450.2017.1384698
neural network,15472450.2017.1384698
short corridor,15472450.2017.1384698
travel mode,15472450.2017.1384698
bus progression,15472450.2017.1394191
bus stops,15472450.2017.1394191
effective bandwidth,15472450.2017.1394191
stochastic dwell time,15472450.2017.1394191
artificial intelligence (AI),15472450.2017.1394192
convolutional neural network (CNN),15472450.2017.1394192
deep learning,15472450.2017.1394192
reinforcement learning (RL),15472450.2017.1394192
traffic signal control systems,15472450.2017.1394192
Cell Transmission Model,15472450.2017.1413981
Dynamic Traffic Assignment,15472450.2017.1413981
emission-based DTA formulation,15472450.2017.1413981
time-scale,15472450.2017.1413981
traffic signal control,15472450.2017.1413981
vehicle holding-back problem,15472450.2017.1413981
bootstrap,15472450.2017.1421075
lognormal mixture model,15472450.2017.1421075
resampling,15472450.2017.1421075
sample size,15472450.2017.1421075
travel time reliability,15472450.2017.1421075
Activity,15472450.2018.1436968
expert system,15472450.2018.1436968
fuzzy logic,15472450.2018.1436968
GPS,15472450.2018.1436968
mobility,15472450.2018.1436968
smartphone,15472450.2018.1436968
trajectory,15472450.2018.1436968
transport mode,15472450.2018.1436968
travel,15472450.2018.1436968
uncertainty,15472450.2018.1436968
microsimulation,15472450.2018.1438274
smart work zone,15472450.2018.1438274
traffic estimation,15472450.2018.1438274
inclement weather,15472450.2018.1439389
road weather information system,15472450.2018.1439389
environmental sensor stations,15472450.2018.1439389
location problem,15472450.2018.1439389
multi-objective optimization,15472450.2018.1439389
assignment algorithm,15472450.2018.1441027
Bayesian models,15472450.2018.1441027
performance measurement,15472450.2018.1441027
vehicle re-identification,15472450.2018.1441027
weigh-in-motion,15472450.2018.1441027
bikeshare,15472450.2018.1444484
centrality,15472450.2018.1444484
network modeling,15472450.2018.1444484
road classification,15472450.2018.1444484
trajectory,15472450.2018.1444484
Traffic modeling,15472450.2018.1444485
parameter identification,15472450.2018.1444485
fisher information matrix,15472450.2018.1444485
stochastic variation,15472450.2018.1444485
optimization,15472450.2018.1444485
Emergency vehicle,15472450.2018.1473156
generalized extreme value distributions,15472450.2018.1473156
influential factors,15472450.2018.1473156
travel time reliability,15472450.2018.1473156
Connected and autonomous vehicle,15472450.2018.1476146
platoon estimation,15472450.2018.1476146
platoon identification,15472450.2018.1476146
traffic operations,15472450.2018.1476146
wireless vehicle-to-vehicle communications,15472450.2018.1476146
Copula,15472450.2018.1484738
link correlations,15472450.2018.1484738
signal coordination,15472450.2018.1484738
travel time distribution,15472450.2018.1484738
urban arterial,15472450.2018.1484738
Artificial neural network,15472450.2018.1493929
forecasting,15472450.2018.1493929
traffic flow,15472450.2018.1493929
wavelet transformation,15472450.2018.1493929
Driver assistant system,15472450.2018.1506338
driving style evaluation,15472450.2018.1506338
fuzzy systems,15472450.2018.1506338
maneuver detection,15472450.2018.1506338
smartphones sensors,15472450.2018.1506338
Dead reckoning,15472450.2018.1527693
extended Kalman filter,15472450.2018.1527693
map matching,15472450.2018.1527693
self-localization,15472450.2018.1527693
Congestion detection,15472450.2018.1502667
coverage,15472450.2018.1502667
probe data,15472450.2018.1502667
sensor data,15472450.2018.1502667
speed bias analysis,15472450.2018.1502667
Bayesian network (BN),15472450.2018.1486192
causality interpretation,15472450.2018.1486192
probabilistic output,15472450.2018.1486192
red-light-running (RLR) prediction,15472450.2018.1486192
Behavioral change,15472450.2018.1488133
functional data analysis,15472450.2018.1488133
preplanned capacity reduction,15472450.2018.1488133
regression analysis,15472450.2018.1488133
smartphone data collection,15472450.2018.1488133
traffic impact analysis,15472450.2018.1488133
vehicle trajectory data,15472450.2018.1488133
Driving style,15472450.2018.1525534
instrumented vehicle,15472450.2018.1525534
nonnegative matrix factorization,15472450.2018.1525534
simulator,15472450.2018.1525534
VSD,15472450.2018.1525534
Accident duration prediction,15472450.2018.1536978
Bayesian network,15472450.2018.1536978
cost-sensitive,15472450.2018.1536978
KNN regression,15472450.2018.1536978
GPS probe data,15472450.2018.1470932
link travel time,15472450.2018.1470932
smart card data,15472450.2018.1470932
station dwell time,15472450.2018.1470932
travel time reliability,15472450.2018.1470932
Emissions estimation,15472450.2018.1528447
MOVES,15472450.2018.1528447
operating mode,15472450.2018.1528447
OpMode distribution,15472450.2018.1528447
vehicle activity,15472450.2018.1528447
Beam search algorithm,15472450.2018.1484739
carpooling,15472450.2018.1484739
exact solution method,15472450.2018.1484739
mathematical model,15472450.2018.1484739
transportation,15472450.2018.1484739
Charging technologies,15472450.2018.1488131
electric buses,15472450.2018.1488131
optimal route design,15472450.2018.1488131
optimal scheduling; transit operations planning process,15472450.2018.1488131
Coordinated,15472450.2018.1488132
railway,15472450.2018.1488132
synchronized,15472450.2018.1488132
timetabling,15472450.2018.1488132
transfer,15472450.2018.1488132
Fuzzy sets,15472450.2018.1525533
high-speed rail,15472450.2018.1525533
intelligent control system,15472450.2018.1525533
system availability,15472450.2018.1525533
Delay penalty cost,15472450.2018.1542303
route guidance system,15472450.2018.1542303
target arrival time,15472450.2018.1542303
travel time disutility,15472450.2018.1542303
travel time unreliability,15472450.2018.1542303
Congestion,15472450.2018.1563865
level of service,15472450.2018.1563865
convolutional neural network,15472450.2018.1563865
long short-term memory,15472450.2018.1563865
support vector machine,15472450.2018.1563865
Cellular automata,15472450.2018.1462176
driving simulator,15472450.2018.1462176
lane changing decision model,15472450.2018.1462176
neural network,15472450.2018.1462176
traffic flow simulation,15472450.2018.1462176
Bus bunching,15472450.2018.1494596
bus lane,15472450.2018.1494596
public transport,15472450.2018.1494596
travel time,15472450.2018.1494596
Energy management,15472450.2018.1496428
intersection traffic,15472450.2018.1496428
speed regulation,15472450.2018.1496428
traffic light,15472450.2018.1496428
trip time,15472450.2018.1496428
Mathematical programming,15472450.2018.1501273
multi-agent system,15472450.2018.1501273
signal control,15472450.2018.1501273
traffic network,15472450.2018.1501273
Multi-objective optimization,15472450.2018.1504294
dynamic predictive control,15472450.2018.1504294
traffic network,15472450.2018.1504294
cell transmission model,15472450.2018.1504294
genetic algorithm,15472450.2018.1504294
2010 Mathematics Subject Classification. Primary,15472450.2018.1504294
Flow estimation,15472450.2018.1506339
large network,15472450.2018.1506339
location problem,15472450.2018.1506339
observability index,15472450.2018.1506339
origin-destination estimation,15472450.2018.1506339
vehicle identification sensor,15472450.2018.1506339
Demand and supply mismatch,15472450.2018.1518137
global positioning system data,15472450.2018.1518137
multinomial logistic regression,15472450.2018.1518137
spatio–temporal distribution,15472450.2018.1518137
taxi service,15472450.2018.1518137
Airports,15472450.2018.1473157
gamification,15472450.2018.1473157
logit models,15472450.2018.1473157
probit models,15472450.2018.1473157
smartphone applications,15472450.2018.1473157
Autonomous vehicles,15472450.2018.1536859
decentralized,15472450.2018.1536859
intersection access,15472450.2018.1536859
intersection control,15472450.2018.1536859
Control sub-regions,15472450.2018.1557524
macroscopic fundamental diagram,15472450.2018.1557524
minimum road network unit,15472450.2018.1557524
urban road network,15472450.2018.1557524
Data compression,15472450.2018.1560280
vehicle kinematics,15472450.2018.1560280
vehicle trajectories,15472450.2018.1560280
Active Pedestrian Evacuation Network (APEN),15472450.2018.1562348
controlled flow,15472450.2018.1562348
emergency evacuation,15472450.2018.1562348
linear programming,15472450.2018.1562348
multi-exit network,15472450.2018.1562348
Navigation system,15472450.2018.1563864
optimal control,15472450.2018.1563864
quality measure,15472450.2018.1563864
real-time traffic information,15472450.2018.1563864
variable speed limit system,15472450.2018.1563864
Fuel economy,15472450.2019.1578565
signalized intersection,15472450.2019.1578565
speed optimization,15472450.2019.1578565
vehicle-to-infrastructure communication,15472450.2019.1578565
Data processing,15472450.2018.1476147
Kalman filtering,15472450.2018.1476147
Lagrangian formulation,15472450.2018.1476147
traffic state estimation,15472450.2018.1476147
dynamic traffic routing,15472450.2018.1488218
OmNet++,15472450.2018.1488218
parking search,15472450.2018.1488218
SUMO,15472450.2018.1488218
Computational optimal control,15472450.2018.1562349
connected and automated vehicle,15472450.2018.1562349
lane change,15472450.2018.1562349
multi-vehicle motion planning,15472450.2018.1562349
trajectory planning,15472450.2018.1562349
Passenger choice behavior,15472450.2019.1573366
real-time,15472450.2019.1573366
short turning strategy,15472450.2019.1573366
transit service,15472450.2019.1573366
waiting time,15472450.2019.1573366
Complex road network,15472450.2019.1586543
map-matching algorithm,15472450.2019.1586543
taxi GPS data,15472450.2019.1586543
trajectory,15472450.2019.1586543
Critical node,15472450.2018.1527694
deep reinforcement learning,15472450.2018.1527694
traffic signal controller,15472450.2018.1527694
tripartite graph,15472450.2018.1527694
Connected and automated vehicles,15472450.2019.1699076
location-based driving volatility,15472450.2019.1699076
pre-installed data,15472450.2019.1699076
informed decision-making,15472450.2019.1699076
Clustering,15472450.2019.1615487
GPS data,15472450.2019.1615487
hazmat,15472450.2019.1615487
transportation regulatory,15472450.2019.1615487
trip purpose,15472450.2019.1615487
Countermeasures,15472450.2019.1677160
limited access facilities,15472450.2019.1677160
optimization,15472450.2019.1677160
risk modeling,15472450.2019.1677160
wrong-way driving,15472450.2019.1677160
Critical speed,15472450.2019.1579091
data fusion,15472450.2019.1579091
expressway bottleneck,15472450.2019.1579091
fundamental diagram,15472450.2019.1579091
oversaturated state,15472450.2019.1579091
C0 complexity,15472450.2019.1579092
Fourier transform,15472450.2019.1579092
LSSVR,15472450.2019.1579092
multistep prediction,15472450.2019.1579092
parking spaces,15472450.2019.1579092
Arterial signal coordination,15472450.2019.1579093
connected vehicles (CV),15472450.2019.1579093
platoon control,15472450.2019.1579093
speed guidance,15472450.2019.1579093
vehicle-to-X communication (V2X),15472450.2019.1579093
Condition monitoring,15472450.2018.1542305
friction estimation,15472450.2018.1542305
locomotive,15472450.2018.1542305
low adhesion,15472450.2018.1542305
model-based,15472450.2018.1542305
multiple models,15472450.2018.1542305
roller-rig,15472450.2018.1542305
swarm intelligence,15472450.2018.1542305
test stand,15472450.2018.1542305
Decision tree,15472450.2018.1542304
ensemble method,15472450.2018.1542304
Fourier series,15472450.2018.1542304
gradient boosting,15472450.2018.1542304
long-term prediction,15472450.2018.1542304
travel time prediction,15472450.2018.1542304
Direct strategy,15472450.2019.1582950
iterated strategy,15472450.2019.1582950
multivariate GBRT,15472450.2019.1582950
multi-step-ahead prediction,15472450.2019.1582950
traffic speed forecasting,15472450.2019.1582950
Adaptive strategies,15472450.2019.1598863
big data,15472450.2019.1598863
driver origins,15472450.2019.1598863
route guidance,15472450.2019.1598863
Adaptive traffic control,15472450.2019.1614445
Bayesian modeling,15472450.2019.1614445
GPS floating car,15472450.2019.1614445
SURTRAC,15472450.2019.1614445
travel time reliability,15472450.2019.1614445
volatility,15472450.2019.1614445
VANETs,15472450.2019.1625042
authentication,15472450.2019.1625042
privacy preserving,15472450.2019.1625042
revocation,15472450.2019.1625042
security,15472450.2019.1625042
Adaptive signal control,15472450.2019.1643723
connected vehicle,15472450.2019.1643723
genetic algorithm,15472450.2019.1643723
dynamic platoon dispersion model,15472450.2019.1643723
rolling horizon,15472450.2019.1643723
penetration rate,15472450.2019.1643723
Gaussian mixture model,15472450.2019.1659793
global positioning systems (GPS),15472450.2019.1659793
gross vehicle weight (GVW),15472450.2019.1659793
spatial interpolation,15472450.2019.1659793
weigh-in-motion (WIM),15472450.2019.1659793
Internet of vehicles,15472450.2019.1612247
small files correlation probability,15472450.2019.1612247
small files merging scheme,15472450.2019.1612247
prefetching and caching strategy,15472450.2019.1612247
artificial intelligence,15472450.2019.1652826
communication ring,15472450.2019.1652826
data transmission time extension,15472450.2019.1652826
directional networks,15472450.2019.1652826
traffic video analysis,15472450.2019.1652826
Guided filter (GF),15472450.2019.1643725
image fusion,15472450.2019.1643725
sparse representation (SR),15472450.2019.1643725
weight map,15472450.2019.1643725
altitude,15472450.2020.1721289
communication range,15472450.2020.1721289
Dedicated Short Range Communication (DSRC),15472450.2020.1721289
on-board unit (OBU),15472450.2020.1721289
safe pass advisory,15472450.2020.1721289
vehicle-to-vehicle (V2V),15472450.2020.1721289
AlexNet,15472450.2020.1742121
Convolutional Neural Network (CNN),15472450.2020.1742121
GoogLeNet,15472450.2020.1742121
object classification,15472450.2020.1742121
traffic congestion,15472450.2020.1742121
Urban traffic,15472450.2019.1642753
IR image enhancement,15472450.2019.1642753
Retinex theory,15472450.2019.1642753
image correlation,15472450.2019.1642753
Convolutional Neural Network,15472450.2019.1670659
image coding,15472450.2019.1670659
intelligent vehicles,15472450.2019.1670659
multimedia,15472450.2019.1670659
traffic surveillance,15472450.2019.1670659
Before-after analysis,15472450.2019.1638782
comparison,15472450.2019.1638782
countermeasures,15472450.2019.1638782
turn arounds,15472450.2019.1638782
wrong way driving (WWD),15472450.2019.1638782
Cell transmission model,15472450.2019.1638780
robust optimization,15472450.2019.1638780
robustness analysis,15472450.2019.1638780
scenario optimization,15472450.2019.1638780
traffic assignment,15472450.2019.1638780
Critical pore,15472450.2020.1735385
filtering,15472450.2020.1735385
motorcycle,15472450.2020.1735385
motorized two-wheeler,15472450.2020.1735385
pore size,15472450.2020.1735385
